,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
568,2015-07-06,54,84,15,138
569,2015-07-22,126,170,19,296
570,2015-07-01,56,59,12,115
571,2015-07-28,50,43,11,93
572,2015-07-09,3,3,1,6
573,2015-07-13,1,4,3,5
574,2015-07-03,55,35,7,90
576,2015-07-05,15,15,1,30
577,2015-07-28,13,22,23,35
578,2015-07-23,362,186,8,548
579,2015-07-26,78,43,13,121
580,2015-07-22,2,1,2,3
581,2015-07-05,5,5,5,10
582,2015-07-14,3,13,0,16
583,2015-07-21,42,44,12,86
584,2015-07-03,11,8,5,19
585,2015-07-10,154,382,17,536
586,2015-07-07,3,2,1,5
587,2015-07-02,5,9,0,14
589,2015-07-08,83,59,10,142
590,2015-07-31,43,87,20,130
591,2015-07-07,8,2,2,10
592,2015-07-16,5,9,1,14
593,2015-07-25,8,15,0,23
594,2015-07-28,57,65,13,122
595,2015-07-17,28,28,22,56
596,2015-07-28,3,5,3,8
597,2015-07-05,66,68,14,134
600,2015-07-15,64,47,11,111
601,2015-07-22,2,4,1,6
602,2015-07-21,23,18,22,41
603,2015-07-06,22,12,5,34
604,2015-07-01,160,101,9,261
605,2015-07-18,36,41,21,77
606,2015-07-12,116,76,15,192
607,2015-07-06,8,8,0,16
608,2015-07-29,15,30,23,45
609,2015-07-20,43,39,21,82
610,2015-07-03,100,86,12,186
611,2015-07-10,24,23,22,47
612,2015-07-10,59,73,14,132
613,2015-07-22,10,23,23,33
614,2015-07-12,21,16,7,37
615,2015-07-14,62,57,14,119
616,2015-07-31,38,22,23,60
617,2015-07-18,94,99,13,193
618,2015-07-08,143,256,16,399
620,2015-07-28,3,7,1,10
621,2015-07-24,6,5,4,11
622,2015-07-29,64,98,20,162
623,2015-07-24,29,28,11,57
624,2015-07-29,127,70,6,197
625,2015-07-15,220,553,17,773
626,2015-07-14,28,17,5,45
627,2015-07-25,54,56,17,110
628,2015-07-02,59,45,12,104
629,2015-07-29,338,144,7,482
630,2015-07-20,161,336,18,497
631,2015-07-27,17,15,23,32
632,2015-07-23,218,469,17,687
633,2015-07-21,38,23,5,61
634,2015-07-31,1,6,2,7
635,2015-07-04,71,61,21,132
636,2015-07-14,172,340,18,512
637,2015-07-10,119,221,18,340
638,2015-07-08,145,52,6,197
639,2015-07-24,56,58,14,114
640,2015-07-30,46,65,14,111
642,2015-07-21,44,54,14,98
643,2015-07-29,58,62,13,120
644,2015-07-18,104,84,15,188
645,2015-07-10,32,17,5,49
646,2015-07-29,183,348,18,531
647,2015-07-23,167,120,9,287
648,2015-07-31,84,98,15,182
649,2015-07-27,98,45,6,143
650,2015-07-25,51,60,16,111
651,2015-07-01,76,99,20,175
652,2015-07-29,69,74,10,143
653,2015-07-04,4,10,1,14
654,2015-07-03,104,72,11,176
655,2015-07-08,334,153,7,487
656,2015-07-03,4,3,4,7
657,2015-07-28,31,19,5,50
658,2015-07-04,7,5,5,12
659,2015-07-23,2,4,1,6
660,2015-07-21,46,48,11,94
661,2015-07-23,43,73,14,116
662,2015-07-18,34,22,22,56
663,2015-07-16,5,2,3,7
664,2015-07-29,191,113,9,304
665,2015-07-13,49,41,12,90
666,2015-07-12,79,79,11,158
667,2015-07-27,122,227,16,349
668,2015-07-25,39,40,19,79
669,2015-07-04,79,56,11,135
670,2015-07-10,72,49,10,121
671,2015-07-14,85,82,15,167
672,2015-07-30,5,5,4,10
673,2015-07-25,68,56,15,124
674,2015-07-27,74,101,15,175
675,2015-07-11,12,15,0,27
676,2015-07-12,5,4,5,9
677,2015-07-13,73,99,15,172
678,2015-07-19,12,25,22,37
679,2015-07-31,45,64,21,109
680,2015-07-15,170,336,18,506
681,2015-07-13,136,198,16,334
682,2015-07-05,57,80,16,137
683,2015-07-18,5,5,5,10
684,2015-07-13,10,8,23,18
685,2015-07-17,30,37,21,67
686,2015-07-09,17,22,23,39
687,2015-07-18,35,40,20,75
688,2015-07-02,53,76,14,129
689,2015-07-20,8,19,23,27
690,2015-07-07,67,87,20,154
691,2015-07-13,49,41,13,90
692,2015-07-15,2,6,2,8
693,2015-07-18,64,73,18,137
694,2015-07-10,62,58,13,120
695,2015-07-29,143,264,16,407
696,2015-07-07,11,19,23,30
697,2015-07-21,66,58,20,124
698,2015-07-20,68,89,20,157
699,2015-07-05,38,37,8,75
700,2015-07-02,7,3,4,10
701,2015-07-11,50,37,8,87
702,2015-07-09,51,55,11,106
704,2015-07-01,121,215,16,336
705,2015-07-12,102,84,16,186
706,2015-07-30,44,31,22,75
707,2015-07-22,53,55,12,108
708,2015-07-29,196,490,17,686
709,2015-07-18,80,83,10,163
710,2015-07-28,73,72,14,145
711,2015-07-26,2,2,3,4
712,2015-07-19,6,15,6,21
713,2015-07-05,47,26,20,73
714,2015-07-14,55,50,12,105
715,2015-07-27,199,506,17,705
716,2015-07-27,3,1,4,4
717,2015-07-17,172,376,17,548
718,2015-07-20,129,206,16,335
719,2015-07-19,69,67,10,136
720,2015-07-02,111,52,6,163
722,2015-07-04,2,2,2,4
723,2015-07-11,91,56,16,147
724,2015-07-16,64,47,11,111
725,2015-07-10,144,223,16,367
726,2015-07-09,157,102,9,259
727,2015-07-26,6,17,22,23
728,2015-07-04,75,51,18,126
729,2015-07-19,63,54,8,117
730,2015-07-26,6,13,0,19
731,2015-07-28,174,318,18,492
732,2015-07-01,390,201,8,591
733,2015-07-18,81,54,9,135
734,2015-07-01,76,61,14,137
735,2015-07-11,94,74,15,168
736,2015-07-02,152,99,9,251
738,2015-07-15,87,88,15,175
739,2015-07-12,66,59,18,125
740,2015-07-25,0,4,4,4
743,2015-07-14,73,49,13,122
744,2015-07-01,132,69,6,201
745,2015-07-05,31,22,21,53
746,2015-07-19,5,5,1,10
747,2015-07-29,63,55,21,118
748,2015-07-14,1,4,2,5
749,2015-07-23,37,51,21,88
750,2015-07-26,92,77,15,169
751,2015-07-20,3,7,1,10
752,2015-07-17,65,67,14,132
753,2015-07-25,27,25,10,52
754,2015-07-10,66,118,19,184
755,2015-07-05,4,2,4,6
756,2015-07-17,4,7,3,11
757,2015-07-30,5,2,2,7
758,2015-07-22,174,335,18,509
759,2015-07-24,30,30,23,60
760,2015-07-04,60,68,17,128
761,2015-07-19,59,55,16,114
762,2015-07-31,57,47,13,104
765,2015-07-24,127,190,16,317
766,2015-07-23,10,28,23,38
768,2015-07-12,94,83,17,177
769,2015-07-19,74,80,12,154
770,2015-07-13,81,135,19,216
771,2015-07-30,397,208,8,605
772,2015-07-24,22,14,5,36
773,2015-07-09,204,472,17,676
774,2015-07-08,29,36,22,65
775,2015-07-31,67,54,11,121
776,2015-07-07,27,34,22,61
777,2015-07-24,243,99,7,342
778,2015-07-28,79,89,20,168
779,2015-07-20,61,61,14,122
780,2015-07-23,2,1,3,3
781,2015-07-08,218,508,17,726
782,2015-07-07,176,98,9,274
783,2015-07-17,72,97,15,169
784,2015-07-25,3,0,3,3
785,2015-07-06,6,3,4,9
786,2015-07-30,54,64,21,118
787,2015-07-25,71,55,14,126
788,2015-07-24,43,99,19,142
789,2015-07-08,174,108,9,282
791,2015-07-22,117,57,6,174
792,2015-07-10,48,50,11,98
793,2015-07-16,139,58,6,197
794,2015-07-09,62,48,13,110
795,2015-07-22,49,77,20,126
796,2015-07-21,7,10,0,17
797,2015-07-24,41,34,12,75
798,2015-07-01,35,24,22,59
799,2015-07-23,77,50,10,127
800,2015-07-06,20,26,22,46
801,2015-07-12,1,2,3,3
802,2015-07-03,87,90,16,177
803,2015-07-03,10,9,1,19
804,2015-07-22,83,60,10,143
805,2015-07-30,57,99,20,156
806,2015-07-02,273,123,7,396
807,2015-07-09,25,40,22,65
808,2015-07-06,61,38,11,99
809,2015-07-22,213,462,17,675
810,2015-07-06,117,60,6,177
811,2015-07-04,62,58,20,120
812,2015-07-10,2,3,3,5
813,2015-07-22,331,152,7,483
814,2015-07-30,193,112,9,305
815,2015-07-06,148,104,9,252
816,2015-07-11,33,32,7,65
817,2015-07-26,3,6,1,9
818,2015-07-21,367,125,7,492
819,2015-07-13,1,1,1,2
820,2015-07-10,343,166,8,509
821,2015-07-19,46,57,19,103
822,2015-07-10,6,6,4,12
823,2015-07-08,100,91,20,191
824,2015-07-19,38,26,20,64
825,2015-07-09,85,88,20,173
826,2015-07-05,30,62,0,92
827,2015-07-08,7,1,2,8
828,2015-07-13,362,164,8,526
829,2015-07-15,44,40,12,84
830,2015-07-22,9,6,4,15
831,2015-07-26,62,67,12,129
832,2015-07-20,181,473,17,654
838,2015-08-06,18,12,23,30
839,2015-08-18,64,97,20,161
840,2015-08-20,7,2,4,9
841,2015-08-14,23,40,19,63
